OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0337] port 'icache_id_i[0]' not found.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - bp_fe_pc_gen_1/genblk1_branch_prediction_1/btb_1/btb_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_0__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_1__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_2__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_3__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_4__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_5__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_6__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/data_mem_banks_7__data_mem_bank/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/metadata_mem.macro_mem.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - icache_1/tag_mem.macro_mem.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (527.0950, 582.5000) - (527.5750, 583.8850) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (299.2900, 291.3050) - (299.5700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (302.6500, 291.3050) - (302.9300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (306.0100, 291.3050) - (306.2900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (309.3700, 291.3050) - (309.6500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (312.7300, 291.3050) - (313.0100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (316.0900, 291.3050) - (316.3700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (319.4500, 291.3050) - (319.7300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (322.8100, 291.3050) - (323.0900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (326.1700, 291.3050) - (326.4500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (329.5300, 291.3050) - (329.8100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (332.8900, 291.3050) - (333.1700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (336.2500, 291.3050) - (336.5300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (339.6100, 291.3050) - (339.8900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (342.9700, 291.3050) - (343.2500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (367.1700, 291.3050) - (367.4500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (370.5300, 291.3050) - (370.8100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (373.8900, 291.3050) - (374.1700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (377.2500, 291.3050) - (377.5300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (380.6100, 291.3050) - (380.8900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (383.9700, 291.3050) - (384.2500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (387.3300, 291.3050) - (387.6100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (390.6900, 291.3050) - (390.9700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (394.0500, 291.3050) - (394.3300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (397.4100, 291.3050) - (397.6900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (400.7700, 291.3050) - (401.0500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (404.1300, 291.3050) - (404.4100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (407.4900, 291.3050) - (407.7700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (410.8500, 291.3050) - (411.1300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (414.2100, 291.3050) - (414.4900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (417.5700, 291.3050) - (417.8500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (420.9300, 291.3050) - (421.2100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (424.2900, 291.3050) - (424.5700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (427.6500, 291.3050) - (427.9300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (431.0100, 291.3050) - (431.2900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (434.3700, 291.3050) - (434.6500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (437.7300, 291.3050) - (438.0100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (441.0900, 291.3050) - (441.3700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (444.4500, 291.3050) - (444.7300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (447.8100, 291.3050) - (448.0900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (451.1700, 291.3050) - (451.4500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (454.5300, 291.3050) - (454.8100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (457.8900, 291.3050) - (458.1700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (461.2500, 291.3050) - (461.5300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (464.6100, 291.3050) - (464.8900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (467.9700, 291.3050) - (468.2500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (471.3300, 291.3050) - (471.6100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (474.6900, 291.3050) - (474.9700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (478.0500, 291.3050) - (478.3300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (481.4100, 291.3050) - (481.6900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (484.7700, 291.3050) - (485.0500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (488.1300, 291.3050) - (488.4100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (491.4900, 291.3050) - (491.7700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (494.8500, 291.3050) - (495.1300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (498.2100, 291.3050) - (498.4900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (501.5700, 291.3050) - (501.8500, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (504.9300, 291.3050) - (505.2100, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (508.2900, 291.3050) - (508.5700, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (511.6500, 291.3050) - (511.9300, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (515.0100, 291.3050) - (515.2900, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.5600, 468.0550) - (22.8400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.9200, 468.0550) - (26.2000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (29.2800, 468.0550) - (29.5600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.6400, 468.0550) - (32.9200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (36.0000, 468.0550) - (36.2800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (39.3600, 468.0550) - (39.6400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.7200, 468.0550) - (43.0000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (46.0800, 468.0550) - (46.3600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.4400, 468.0550) - (49.7200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.8000, 468.0550) - (53.0800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (56.1600, 468.0550) - (56.4400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.5200, 468.0550) - (59.8000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.8800, 468.0550) - (63.1600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (66.2400, 468.0550) - (66.5200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.6000, 468.0550) - (69.8800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.9600, 468.0550) - (73.2400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (76.3200, 468.0550) - (76.6000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.6800, 468.0550) - (79.9600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (83.0400, 468.0550) - (83.3200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.4000, 468.0550) - (86.6800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.7600, 468.0550) - (90.0400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (93.1200, 468.0550) - (93.4000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.4800, 468.0550) - (96.7600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.8400, 468.0550) - (100.1200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (103.2000, 468.0550) - (103.4800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.5600, 468.0550) - (106.8400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.9200, 468.0550) - (110.2000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (113.2800, 468.0550) - (113.5600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.6400, 468.0550) - (116.9200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (120.0000, 468.0550) - (120.2800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (123.3600, 468.0550) - (123.6400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (126.7200, 468.0550) - (127.0000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (130.0800, 468.0550) - (130.3600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (133.4400, 468.0550) - (133.7200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (136.8000, 468.0550) - (137.0800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.1600, 468.0550) - (140.4400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.5200, 468.0550) - (143.8000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (146.8800, 468.0550) - (147.1600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.2400, 468.0550) - (150.5200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (153.6000, 468.0550) - (153.8800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (156.9600, 468.0550) - (157.2400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.3200, 468.0550) - (160.6000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (163.6800, 468.0550) - (163.9600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.0400, 468.0550) - (167.3200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.4000, 468.0550) - (170.6800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.5600, 291.3050) - (22.8400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.9200, 291.3050) - (26.2000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (29.2800, 291.3050) - (29.5600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.6400, 291.3050) - (32.9200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (36.0000, 291.3050) - (36.2800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (39.3600, 291.3050) - (39.6400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.7200, 291.3050) - (43.0000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (46.0800, 291.3050) - (46.3600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.4400, 291.3050) - (49.7200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.8000, 291.3050) - (53.0800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (56.1600, 291.3050) - (56.4400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.5200, 291.3050) - (59.8000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.8800, 291.3050) - (63.1600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (66.2400, 291.3050) - (66.5200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.6000, 291.3050) - (69.8800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.9600, 291.3050) - (73.2400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (76.3200, 291.3050) - (76.6000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.6800, 291.3050) - (79.9600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (83.0400, 291.3050) - (83.3200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.4000, 291.3050) - (86.6800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.7600, 291.3050) - (90.0400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (93.1200, 291.3050) - (93.4000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.4800, 291.3050) - (96.7600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.8400, 291.3050) - (100.1200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (103.2000, 291.3050) - (103.4800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.5600, 291.3050) - (106.8400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.9200, 291.3050) - (110.2000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (113.2800, 291.3050) - (113.5600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.6400, 291.3050) - (116.9200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (120.0000, 291.3050) - (120.2800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (123.3600, 291.3050) - (123.6400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (126.7200, 291.3050) - (127.0000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (130.0800, 291.3050) - (130.3600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (133.4400, 291.3050) - (133.7200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (136.8000, 291.3050) - (137.0800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.1600, 291.3050) - (140.4400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.5200, 291.3050) - (143.8000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (146.8800, 291.3050) - (147.1600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.2400, 291.3050) - (150.5200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (153.6000, 291.3050) - (153.8800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (156.9600, 291.3050) - (157.2400, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.3200, 291.3050) - (160.6000, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (163.6800, 291.3050) - (163.9600, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.0400, 291.3050) - (167.3200, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.4000, 291.3050) - (170.6800, 291.6700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (539.7400, 468.0550) - (540.0200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (543.1000, 468.0550) - (543.3800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (546.4600, 468.0550) - (546.7400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (549.8200, 468.0550) - (550.1000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (553.1800, 468.0550) - (553.4600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (556.5400, 468.0550) - (556.8200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (559.9000, 468.0550) - (560.1800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (563.2600, 468.0550) - (563.5400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (566.6200, 468.0550) - (566.9000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (569.9800, 468.0550) - (570.2600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (573.3400, 468.0550) - (573.6200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (576.7000, 468.0550) - (576.9800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (580.0600, 468.0550) - (580.3400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (583.4200, 468.0550) - (583.7000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (586.7800, 468.0550) - (587.0600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (590.1400, 468.0550) - (590.4200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (593.5000, 468.0550) - (593.7800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (596.8600, 468.0550) - (597.1400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (600.2200, 468.0550) - (600.5000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (603.5800, 468.0550) - (603.8600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (606.9400, 468.0550) - (607.2200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (610.3000, 468.0550) - (610.5800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (613.6600, 468.0550) - (613.9400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (617.0200, 468.0550) - (617.3000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (620.3800, 468.0550) - (620.6600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (623.7400, 468.0550) - (624.0200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (627.1000, 468.0550) - (627.3800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (630.4600, 468.0550) - (630.7400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (633.8200, 468.0550) - (634.1000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (637.1800, 468.0550) - (637.4600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (640.5400, 468.0550) - (640.8200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (643.9000, 468.0550) - (644.1800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (647.2600, 468.0550) - (647.5400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (650.6200, 468.0550) - (650.9000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (653.9800, 468.0550) - (654.2600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (657.3400, 468.0550) - (657.6200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (660.7000, 468.0550) - (660.9800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (664.0600, 468.0550) - (664.3400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (667.4200, 468.0550) - (667.7000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (670.7800, 468.0550) - (671.0600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (674.1400, 468.0550) - (674.4200, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (677.5000, 468.0550) - (677.7800, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (680.8600, 468.0550) - (681.1400, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (684.2200, 468.0550) - (684.5000, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (687.5800, 468.0550) - (687.8600, 468.4200) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.1100, 23.2750) - (25.3900, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.4700, 23.2750) - (28.7500, 23.6400) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.3200, 79.6950) - (25.6000, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.6800, 79.6950) - (28.9600, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.0400, 79.6950) - (32.3200, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.4000, 79.6950) - (35.6800, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.7600, 79.6950) - (39.0400, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.1200, 79.6950) - (42.4000, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (45.4800, 79.6950) - (45.7600, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (48.8400, 79.6950) - (49.1200, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.2000, 79.6950) - (52.4800, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (55.5600, 79.6950) - (55.8400, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (58.9200, 79.6950) - (59.2000, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.2800, 79.6950) - (62.5600, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (65.6400, 79.6950) - (65.9200, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.0000, 79.6950) - (69.2800, 80.0600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.3600, 79.6950) - (72.6400, 80.0600) on VSS
Elapsed time: 0:00.65[h:]min:sec. CPU time: user 0.61 sys 0.04 (99%). Peak memory: 167808KB.
