OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_0__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_1__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_2__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_3__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_4__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_5__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_6__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_7__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/stat_mem.macro_mem.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/tag_mem.macro_mem.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 548.9700) - (14.3350, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (299.2900, 434.1050) - (299.5700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (302.6500, 434.1050) - (302.9300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (306.0100, 434.1050) - (306.2900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (309.3700, 434.1050) - (309.6500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (312.7300, 434.1050) - (313.0100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (316.0900, 434.1050) - (316.3700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (319.4500, 434.1050) - (319.7300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (322.8100, 434.1050) - (323.0900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (326.1700, 434.1050) - (326.4500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (329.5300, 434.1050) - (329.8100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (332.8900, 434.1050) - (333.1700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (336.2500, 434.1050) - (336.5300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (339.6100, 434.1050) - (339.8900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (342.9700, 434.1050) - (343.2500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (539.7400, 434.1050) - (540.0200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (543.1000, 434.1050) - (543.3800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (546.4600, 434.1050) - (546.7400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (549.8200, 434.1050) - (550.1000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (553.1800, 434.1050) - (553.4600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (556.5400, 434.1050) - (556.8200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (559.9000, 434.1050) - (560.1800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (563.2600, 434.1050) - (563.5400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (566.6200, 434.1050) - (566.9000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (569.9800, 434.1050) - (570.2600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (573.3400, 434.1050) - (573.6200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (576.7000, 434.1050) - (576.9800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (580.0600, 434.1050) - (580.3400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (583.4200, 434.1050) - (583.7000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (586.7800, 434.1050) - (587.0600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (590.1400, 434.1050) - (590.4200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (593.5000, 434.1050) - (593.7800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (596.8600, 434.1050) - (597.1400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (600.2200, 434.1050) - (600.5000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (603.5800, 434.1050) - (603.8600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (606.9400, 434.1050) - (607.2200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (610.3000, 434.1050) - (610.5800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (613.6600, 434.1050) - (613.9400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (617.0200, 434.1050) - (617.3000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (620.3800, 434.1050) - (620.6600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (623.7400, 434.1050) - (624.0200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (627.1000, 434.1050) - (627.3800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (630.4600, 434.1050) - (630.7400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (633.8200, 434.1050) - (634.1000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (637.1800, 434.1050) - (637.4600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (640.5400, 434.1050) - (640.8200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (643.9000, 434.1050) - (644.1800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (647.2600, 434.1050) - (647.5400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (650.6200, 434.1050) - (650.9000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (653.9800, 434.1050) - (654.2600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (657.3400, 434.1050) - (657.6200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (660.7000, 434.1050) - (660.9800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (664.0600, 434.1050) - (664.3400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (667.4200, 434.1050) - (667.7000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (670.7800, 434.1050) - (671.0600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (674.1400, 434.1050) - (674.4200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (677.5000, 434.1050) - (677.7800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (680.8600, 434.1050) - (681.1400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (684.2200, 434.1050) - (684.5000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (687.5800, 434.1050) - (687.8600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.5600, 567.5250) - (22.8400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.9200, 567.5250) - (26.2000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (29.2800, 567.5250) - (29.5600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.6400, 567.5250) - (32.9200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (36.0000, 567.5250) - (36.2800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (39.3600, 567.5250) - (39.6400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.7200, 567.5250) - (43.0000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (46.0800, 567.5250) - (46.3600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.4400, 567.5250) - (49.7200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.8000, 567.5250) - (53.0800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (56.1600, 567.5250) - (56.4400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.5200, 567.5250) - (59.8000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.8800, 567.5250) - (63.1600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (66.2400, 567.5250) - (66.5200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.6000, 567.5250) - (69.8800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.9600, 567.5250) - (73.2400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (76.3200, 567.5250) - (76.6000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.6800, 567.5250) - (79.9600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (83.0400, 567.5250) - (83.3200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.4000, 567.5250) - (86.6800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.7600, 567.5250) - (90.0400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (93.1200, 567.5250) - (93.4000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.4800, 567.5250) - (96.7600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.8400, 567.5250) - (100.1200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (103.2000, 567.5250) - (103.4800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.5600, 567.5250) - (106.8400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.9200, 567.5250) - (110.2000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (113.2800, 567.5250) - (113.5600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.6400, 567.5250) - (116.9200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (120.0000, 567.5250) - (120.2800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (123.3600, 567.5250) - (123.6400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (126.7200, 567.5250) - (127.0000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (130.0800, 567.5250) - (130.3600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (133.4400, 567.5250) - (133.7200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (136.8000, 567.5250) - (137.0800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.1600, 567.5250) - (140.4400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.5200, 567.5250) - (143.8000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (146.8800, 567.5250) - (147.1600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.2400, 567.5250) - (150.5200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (153.6000, 567.5250) - (153.8800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (156.9600, 567.5250) - (157.2400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.3200, 567.5250) - (160.6000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (163.6800, 567.5250) - (163.9600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.0400, 567.5250) - (167.3200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.4000, 567.5250) - (170.6800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (539.7400, 567.5250) - (540.0200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (543.1000, 567.5250) - (543.3800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (546.4600, 567.5250) - (546.7400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (549.8200, 567.5250) - (550.1000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (553.1800, 567.5250) - (553.4600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (556.5400, 567.5250) - (556.8200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (559.9000, 567.5250) - (560.1800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (563.2600, 567.5250) - (563.5400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (566.6200, 567.5250) - (566.9000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (569.9800, 567.5250) - (570.2600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (573.3400, 567.5250) - (573.6200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (576.7000, 567.5250) - (576.9800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (580.0600, 567.5250) - (580.3400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (583.4200, 567.5250) - (583.7000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (586.7800, 567.5250) - (587.0600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (590.1400, 567.5250) - (590.4200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (593.5000, 567.5250) - (593.7800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (596.8600, 567.5250) - (597.1400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (600.2200, 567.5250) - (600.5000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (603.5800, 567.5250) - (603.8600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (606.9400, 567.5250) - (607.2200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (610.3000, 567.5250) - (610.5800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (613.6600, 567.5250) - (613.9400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (617.0200, 567.5250) - (617.3000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (620.3800, 567.5250) - (620.6600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (623.7400, 567.5250) - (624.0200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (627.1000, 567.5250) - (627.3800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (630.4600, 567.5250) - (630.7400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (633.8200, 567.5250) - (634.1000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (637.1800, 567.5250) - (637.4600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (640.5400, 567.5250) - (640.8200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (643.9000, 567.5250) - (644.1800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (647.2600, 567.5250) - (647.5400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (650.6200, 567.5250) - (650.9000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (653.9800, 567.5250) - (654.2600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (657.3400, 567.5250) - (657.6200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (660.7000, 567.5250) - (660.9800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (664.0600, 567.5250) - (664.3400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (667.4200, 567.5250) - (667.7000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (670.7800, 567.5250) - (671.0600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (674.1400, 567.5250) - (674.4200, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (677.5000, 567.5250) - (677.7800, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (680.8600, 567.5250) - (681.1400, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (684.2200, 567.5250) - (684.5000, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (687.5800, 567.5250) - (687.8600, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (696.0500, 192.6050) - (696.3300, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (697.7300, 247.0400) - (698.0100, 247.2050) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (699.4100, 192.6050) - (699.6900, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (701.0900, 247.0400) - (701.3700, 247.2050) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (702.7700, 192.6050) - (703.0500, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (727.2600, 192.6050) - (727.5400, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (730.6200, 192.6050) - (730.9000, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (733.9800, 192.6050) - (734.2600, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (737.3400, 192.6050) - (737.6200, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (740.7000, 192.6050) - (740.9800, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (744.0600, 192.6050) - (744.3400, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (747.4200, 192.6050) - (747.7000, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (750.7800, 192.6050) - (751.0600, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (754.1400, 192.6050) - (754.4200, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (757.5000, 192.6050) - (757.7800, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (760.8600, 192.6050) - (761.1400, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (764.2200, 192.6050) - (764.5000, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (767.5800, 192.6050) - (767.8600, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (770.9400, 192.6050) - (771.2200, 192.9700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (774.3000, 192.6050) - (774.5800, 192.9700) on VSS
Elapsed time: 0:00.92[h:]min:sec. CPU time: user 0.84 sys 0.07 (99%). Peak memory: 206892KB.
