OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0320] current_design for other than top cell not supported.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_0__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_1__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_2__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_3__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_4__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_5__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_6__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_7__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_0__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_1__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_2__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_3__ICACHE_SZ_16_ic_way_tag.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 417.5000) - (14.3350, 418.6850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (924.2600, 762.2650) - (924.5400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (927.6200, 762.2650) - (927.9000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (930.9800, 762.2650) - (931.2600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (934.3400, 762.2650) - (934.6200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (937.7000, 762.2650) - (937.9800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (941.0600, 762.2650) - (941.3400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (944.4200, 762.2650) - (944.7000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (947.7800, 762.2650) - (948.0600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (951.1400, 762.2650) - (951.4200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (954.5000, 762.2650) - (954.7800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (957.8600, 762.2650) - (958.1400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (961.2200, 762.2650) - (961.5000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (964.5800, 762.2650) - (964.8600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (967.9400, 762.2650) - (968.2200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (971.3000, 762.2650) - (971.5800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (974.6600, 762.2650) - (974.9400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (978.0200, 762.2650) - (978.3000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (981.3800, 762.2650) - (981.6600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (984.7400, 762.2650) - (985.0200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (988.1000, 762.2650) - (988.3800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (991.4600, 762.2650) - (991.7400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (994.8200, 762.2650) - (995.1000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (998.1800, 762.2650) - (998.4600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1001.5400, 762.2650) - (1001.8200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1004.9000, 762.2650) - (1005.1800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1008.2600, 762.2650) - (1008.5400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1011.6200, 762.2650) - (1011.9000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1014.9800, 762.2650) - (1015.2600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1018.3400, 762.2650) - (1018.6200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1021.7000, 762.2650) - (1021.9800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1025.0600, 762.2650) - (1025.3400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1028.4200, 762.2650) - (1028.7000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1031.7800, 762.2650) - (1032.0600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1035.1400, 762.2650) - (1035.4200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1038.5000, 762.2650) - (1038.7800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1041.8600, 762.2650) - (1042.1400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1045.2200, 762.2650) - (1045.5000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1048.5800, 762.2650) - (1048.8600, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1051.9400, 762.2650) - (1052.2200, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1055.3000, 762.2650) - (1055.5800, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1058.6600, 762.2650) - (1058.9400, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1062.0200, 762.2650) - (1062.3000, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (633.5100, 762.2650) - (633.7900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (636.8700, 762.2650) - (637.1500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (640.2300, 762.2650) - (640.5100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (643.5900, 762.2650) - (643.8700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (646.9500, 762.2650) - (647.2300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (650.3100, 762.2650) - (650.5900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (653.6700, 762.2650) - (653.9500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (657.0300, 762.2650) - (657.3100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (660.3900, 762.2650) - (660.6700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (663.7500, 762.2650) - (664.0300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (667.1100, 762.2650) - (667.3900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (670.4700, 762.2650) - (670.7500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (673.8300, 762.2650) - (674.1100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (677.1900, 762.2650) - (677.4700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (680.5500, 762.2650) - (680.8300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (683.9100, 762.2650) - (684.1900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (687.2700, 762.2650) - (687.5500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (690.6300, 762.2650) - (690.9100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (693.9900, 762.2650) - (694.2700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (697.3500, 762.2650) - (697.6300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (700.7100, 762.2650) - (700.9900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (704.0700, 762.2650) - (704.3500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (707.4300, 762.2650) - (707.7100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (710.7900, 762.2650) - (711.0700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (714.1500, 762.2650) - (714.4300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (717.5100, 762.2650) - (717.7900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (720.8700, 762.2650) - (721.1500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (724.2300, 762.2650) - (724.5100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (727.5900, 762.2650) - (727.8700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (730.9500, 762.2650) - (731.2300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (734.3100, 762.2650) - (734.5900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (737.6700, 762.2650) - (737.9500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (741.0300, 762.2650) - (741.3100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (744.3900, 762.2650) - (744.6700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (747.7500, 762.2650) - (748.0300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (751.1100, 762.2650) - (751.3900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (754.4700, 762.2650) - (754.7500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (757.8300, 762.2650) - (758.1100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (761.1900, 762.2650) - (761.4700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (764.5500, 762.2650) - (764.8300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (767.9100, 762.2650) - (768.1900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (771.2700, 762.2650) - (771.5500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (774.6300, 762.2650) - (774.9100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (777.9900, 762.2650) - (778.2700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (781.3500, 762.2650) - (781.6300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (784.7100, 762.2650) - (784.9900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (788.0700, 762.2650) - (788.3500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (791.4300, 762.2650) - (791.7100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (794.7900, 762.2650) - (795.0700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (798.1500, 762.2650) - (798.4300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (801.5100, 762.2650) - (801.7900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (804.8700, 762.2650) - (805.1500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (808.2300, 762.2650) - (808.5100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (811.5900, 762.2650) - (811.8700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (814.9500, 762.2650) - (815.2300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (818.3100, 762.2650) - (818.5900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (821.6700, 762.2650) - (821.9500, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (825.0300, 762.2650) - (825.3100, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (828.3900, 762.2650) - (828.6700, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (831.7500, 762.2650) - (832.0300, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (835.1100, 762.2650) - (835.3900, 762.6300) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (874.8900, 522.4450) - (875.1700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (878.2500, 522.4450) - (878.5300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (881.6100, 522.4450) - (881.8900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (884.9700, 522.4450) - (885.2500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (888.3300, 522.4450) - (888.6100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (891.6900, 522.4450) - (891.9700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (895.0500, 522.4450) - (895.3300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (898.4100, 522.4450) - (898.6900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (901.7700, 522.4450) - (902.0500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (905.1300, 522.4450) - (905.4100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (908.4900, 522.4450) - (908.7700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (911.8500, 522.4450) - (912.1300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (915.2100, 522.4450) - (915.4900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (918.5700, 522.4450) - (918.8500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (921.9300, 522.4450) - (922.2100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (925.2900, 522.4450) - (925.5700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (928.6500, 522.4450) - (928.9300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (932.0100, 522.4450) - (932.2900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (935.3700, 522.4450) - (935.6500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (938.7300, 522.4450) - (939.0100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (942.0900, 522.4450) - (942.3700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (945.4500, 522.4450) - (945.7300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (948.8100, 522.4450) - (949.0900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (952.1700, 522.4450) - (952.4500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (955.5300, 522.4450) - (955.8100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (958.8900, 522.4450) - (959.1700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (962.2500, 522.4450) - (962.5300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (965.6100, 522.4450) - (965.8900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (968.9700, 522.4450) - (969.2500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (972.3300, 522.4450) - (972.6100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (975.6900, 522.4450) - (975.9700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (979.0500, 522.4450) - (979.3300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (982.4100, 522.4450) - (982.6900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (985.7700, 522.4450) - (986.0500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (989.1300, 522.4450) - (989.4100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (992.4900, 522.4450) - (992.7700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (995.8500, 522.4450) - (996.1300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (999.2100, 522.4450) - (999.4900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1002.5700, 522.4450) - (1002.8500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1005.9300, 522.4450) - (1006.2100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1009.2900, 522.4450) - (1009.5700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1012.6500, 522.4450) - (1012.9300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1016.0100, 522.4450) - (1016.2900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1019.3700, 522.4450) - (1019.6500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1022.7300, 522.4450) - (1023.0100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1026.0900, 522.4450) - (1026.3700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1029.4500, 522.4450) - (1029.7300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1032.8100, 522.4450) - (1033.0900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1036.1700, 522.4450) - (1036.4500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1039.5300, 522.4450) - (1039.8100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1042.8900, 522.4450) - (1043.1700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1046.2500, 522.4450) - (1046.5300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1049.6100, 522.4450) - (1049.8900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1052.9700, 522.4450) - (1053.2500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1056.3300, 522.4450) - (1056.6100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1059.6900, 522.4450) - (1059.9700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1063.0500, 522.4450) - (1063.3300, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1066.4100, 522.4450) - (1066.6900, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1069.7700, 522.4450) - (1070.0500, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1073.1300, 522.4450) - (1073.4100, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (1076.4900, 522.4450) - (1076.7700, 522.8100) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.5900, 750.0850) - (140.8700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.9500, 750.0850) - (144.2300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (147.3100, 750.0850) - (147.5900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.6700, 750.0850) - (150.9500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (154.0300, 750.0850) - (154.3100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (157.3900, 750.0850) - (157.6700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.7500, 750.0850) - (161.0300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (164.1100, 750.0850) - (164.3900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.4700, 750.0850) - (167.7500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.8300, 750.0850) - (171.1100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (174.1900, 750.0850) - (174.4700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (177.5500, 750.0850) - (177.8300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (180.9100, 750.0850) - (181.1900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (184.2700, 750.0850) - (184.5500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (187.6300, 750.0850) - (187.9100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (190.9900, 750.0850) - (191.2700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (194.3500, 750.0850) - (194.6300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (197.7100, 750.0850) - (197.9900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.0700, 750.0850) - (201.3500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (204.4300, 750.0850) - (204.7100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (207.7900, 750.0850) - (208.0700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.1500, 750.0850) - (211.4300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (214.5100, 750.0850) - (214.7900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (217.8700, 750.0850) - (218.1500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (221.2300, 750.0850) - (221.5100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (224.5900, 750.0850) - (224.8700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (227.9500, 750.0850) - (228.2300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (231.3100, 750.0850) - (231.5900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (234.6700, 750.0850) - (234.9500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.5900, 835.9050) - (140.8700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.9500, 835.9050) - (144.2300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (147.3100, 835.9050) - (147.5900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.6700, 835.9050) - (150.9500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (154.0300, 835.9050) - (154.3100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (157.3900, 835.9050) - (157.6700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.7500, 835.9050) - (161.0300, 836.2700) on VSS
